,time,event
69,1914,"opening of the Panama Canal (15/8/1914), shortening the route for shipping cargo between Atlantic and Pacific oceans"
70,1915,"mass deployment of X-ray units (Marie Curie, France, 1915) for treatment of over 1 million wounded soldiers"
71,1915,"theory of general relativity (Albert Einstein, Germany, 1915): equivalent effects of gravity and acceleration; gravity as a distortion of spacetime by massive objects → unresolved incompatibility with quantum mechanics"
72,1917,"Russian Revolution (Russia, 1917) → first communist state: USSR, 1922-1991"
73,1917,"a urinal made by a plumber becomes a sculpture made by the force of an imagination (Marcel Duchamp, France, Fountain 1917): reorientation of art away from craft, onto interpretation"
74,1918,"Spanish flu pandemic (1918-20): H1N1 influenza virus infects a third of the global population and kills 50-100 million, mostly in the 2ⁿᵈ wave; early interventions reduce mortality; long-range effects for survivors"
75,1918,first modern refugee crisis (1918-1922): collapsing Russian and Ottoman Empires displacing 1-2 million Russians and hundreds of thousands of Armenians → Nansen Passports for stateless citizens
76,1919,"demonstration of nervous mechanisms in plants, paralleling those in animals (Jagadish Chandra Bose, Bengal, 1919)"
77,1919,"observations of starlight deflection during a Solar eclipse, confirming the gravitational lensing prediction of general relativity (Arthur Eddington, UK, 1919)"
78,1919,"first commercial radio broadcasts (PCGG, Netherlands, 1919); global uptake during 1920s → dissemination of time signals, news, propaganda, education, entertainment; storytelling for the complicit listener"
79,1921,"discovery of insulin (Frederick Banting and Charles Best, Canada, 1921) → treatment of diabetes, now afflicting 1 in 10 of the global population, particularly in high-income and urban areas"
80,1922,"invention of leaded petrol (General Motors, USA, 1922), improving engine performance, causing epidemics of heart disease, stroke, cancer, and developmental delays in children → global elimination by 2021"
81,1922,"prediction of an expanding Universe (Alexander Friedmann, Russia, 1922) → dark energy accelerating the expansion of a flat or possibly closed, cyclic or hologram Universe, perhaps one in a multiverse"
82,1923,"concept of every quantum entity having dual nature, as both wave and particle (Louis de Broglie, France, 1923, Niels Bohr, Denmark, 1928) → no independent physical reality of atomic phenomena"
83,1924,"first aerial circumnavigation of the world (US Army Air Service, 1924) → globalisation of human mobility"
84,1926,"first working television system (John Logie Baird, UK, 1926) → nationwide television broadcasting by 1929, bringing rulers to their subjects, entertainers to viewers, inspiring awe"
85,1926,"Convention to Suppress the Slave Trade and Slavery (League of Nations, 1926) → commitment by 99 of 195 countries since 2008; still 168 million child labourers and 21 million forced labourers"
86,1927,"a car outpaces a racehorse (La Chapelle, France, 1927) → dominion of the automobile for land transport and haulage"
87,1927,"principle that every particle has a constant product of its variances in position and momentum (Werner Heisenberg, Germany, 1927) → no precisely determinable Universe"
88,1928,"prediction of positron particles, the antimatter counterpart of electrons (Paul Dirac, UK, 1928) → abundant antimatter at the birth of the Universe; cosmic rays, positron emission tomography"
89,1928,"identification of plasma, the fourth fundamental state of matter after solids, liquids and gases (Irving Langmuir, USA, 1928)"
90,1928,"first experimental isolation of an antibiotic: penicillin (Alexander Fleming, UK, 1928) → healthcare revolution; overuse of antibiotics driving resistance in bacteria, causing 1.2 million deaths in 2019"
91,1929,"Great Depression, symbolised by the Wall Street Crash of 29/10/1929 and the North American Dust Bowl of the 1930s → 22% drop in worldwide GDP"
92,1930,"postulation of neutrinos (Wolfgang Pauli, Austria, 1930), the smallest elementary particle and one of the most abundant in the Universe, rarely interacting with other matter"
93,1931,"proof that no set of consistent axioms can suffice to derive all mathematical truths, to leave none undecidable (Kurt Gödel, Germany, 1931) → incomplete reality"
94,1932,"discovery of neutrons (James Chadwick, UK, 1932), with protons constituting the nuclei of atoms → nuclear fission of uranium by 1938; nuclear chain reactions; atomic bombs and nuclear energy"
95,1933,"theory that government spending can stabilise the market economy (John Maynard Keynes, UK, 1933, 1936) → borrowing to boost consumption, at the expense of investment to sustain capital assets"
96,1934,"first radio detection and ranging: radar (Navel Research Laboratory, USA, 1934), concurrently developed in UK, Germany and other countries, targeting aircraft, ships, submarines and weather"
97,1935,"concept of the ecosystem (Arthur Tansley, UK, 1935), a complex association of organisms with their environment → value of nature to humans from provisioning, regulating, cultural and supporting ecosystem services"
98,1938,"invention of nylon (Wallace Carothers, DuPont, USA, 1938), the first synthetic textile fibre → filaments, films, bristles, cords, washers, sacking, fabrics, hosiery and clothing, spacesuits, parachutes, fishing nets and longlines"
99,1939,"first turbojet powered aircraft (Heinkel He 178, Germany, 1939) → jet planes"
100,1939,"World War II (1939-45): 184 nations participate, 60 million killed, including genocide of 6 million Jews in the Holocaust 1941-45"
101,1941,"development of frequency-hopping radio communication (Hedy Markey [Hedy Lamarr] and George Antheil, USA, 1941) → Bluetooth and Wi-Fi by 1990s"
102,1941,"first binary-logic digital programmable computer: Z3 (Konrad Zuse, Germany, 1941)"
103,1942,"discovery of insecticidal action of DDT (Paul Müller, Switzerland, 1942), the most successful chemical ever synthesised to control malaria → toxicity in food chains exposed in Rachel Carson’s Silent Spring 1962; worldwide ban 2004"
104,1944,"first electronic digital programmable computer: Colossus (Tommy Flowers, UK, 1944) → code-breaking that hastened the end of World War II"
105,1945,"atomic bombs dropped by the US on Hiroshima and Nagasaki (Japan, 6, 9/8/1945), the blasts and subsequent cancers killing over 250,000 people, mostly civilians; to date the only nuclear weapons used in combat"
106,1945,"establishment of the United Nations (UN, 1945), with a mission to maintain international peace, security and cooperation, amongst societies with customs and tolerances adapted to distal ecological and historical contexts"
