,time,event
58,-20000,"earliest pottery vessels (Xianrendong Cave, China): cooking food in pots during the Last Glacial Maximum"
59,-20000,"beginning of sea-level rise from deglaciation in a warming global climate; stabilising at today’s 120-m higher levels by c. 10,000 years ago"
60,-19000,replacement of early modern humans across Eurasia by the ancestors of today’s populations
61,-15000,introgression of last remaining Denisovans into the modern human genome? Anatomically modern humans henceforth the only hominin
62,-15000,"colonisation and occupation of North America by humans, from northeastern Siberia over the Bering land bridge, bringing their dogs"
63,-15000,"colonisation of South America (Huaca Prieta, Coastal Peru); humans henceforth occupying every continental landmass on Earth, except Antarctica"
64,-15000,"semi-permanent forager settlements of Natufians (Levant), evidenced by presence of house mice"
65,-15000,"earliest record of a string instrument: the musical bow (cave painting at Trois Frères, France) → music initiated outside the body"
66,-15000,"earliest thaumatrope (Laugerie-Basse, France): an optical toy, creating movement by juxtaposition of images"
67,-14400,"evidence of baking bread: unleavened flatbread from wild einkorn and club-rush tubers (Shubayqa, Jordan) → caries from consumption of starchy foods"
68,-14000,"earliest lime plaster, used as an adhesive for hafting (Kebaran, Levant) → mortar by 3,000 years ago"
69,-13400,"earliest evidence of inter-communal violence on a large scale, with projectile impacts and blunt-force trauma (Jebel Sahaba, northern Sudan): warfare and conflict driving human misery"
70,-12800,climate shift contributing to megafaunal extinctions and human cultural changes (Younger Dryas): triggered by a comet airburst over North America and Europe?
71,-12300,"earliest evidence of humans using tobacco (West Desert, North America)"
72,-12000,"extinction of megafauna including woolly mammoths from continental Eurasia and North America, caused by human hunting and climate change"
73,-11700,"start of the Holocene Epoch within the Quaternary Period, characterised by warm and stable climate until the late CE 20ᵗʰ century"
74,-11700,"in the Mojave desert a seed germinates and grows into a deadly creosote bush, which segments to sprout new stems, sprouting and segmenting for 11,700 years"
75,-11600,"earliest monumental ritual art (Shigir, Siberia): 5-m tall larchwood plank carved with human forms and signs → complex ideas expressed by hunter-gatherers"
