,time,event
28,-630,"earliest use of coinage (Ionia or Lydia, Anatolia): many denominations of stamped electrum, a gold-silver alloy → government-controlled economy of transaction costs"
29,-600,"first circumnavigation of the African continent (Phoenicians from Arwād, reported by Herodotus in The Histories 430 BCE)"
30,-550,"height of Greek civilisation (Greece, 6ᵗʰ to 4ᵗʰ centuries BCE) → foundations of Western philosophy, ethics, poetry, drama; first democracy 508 BCE"
31,-550,"earliest cartography: a map of the known world, by Anaximander (Greece, c. 550 BCE, reported in Strabo’s Geographica 7 BCE)"
32,-550,"first Persian Empire (Cyrus the Great, Persia), connecting the Mediterranean to the Indus Valley → code of just rule that respects others’ faiths"
33,-550,"training in surgery and anatomy, described in the Susruta Samhita (northern India, 6ᵗʰ century BCE)"
34,-550,"professional policing, investigating criminal cases, addressing injustices (the paqūdu of Babylonia c. 550 BCE)"
35,-500,"construction of a navigable canal from the Nile to the Red Sea (Darius I of Persia) → Suez Canal by 1869, the shortest maritime route between Europe and Asia"
36,-500,"earliest use of cannabis as a psychoactive substance (Jirzankal Cemetery, China) → modern narco-trafficking spread by counter-drug interdiction"
37,-450,"collection of the sayings of Confucius (551-479 BCE, China) into the Analects, founding Confucianism, with a role for every person in society, and universal education"
38,-450,"earliest cast iron artefacts (Jiangsu, China)"
39,-450,"collection of the Torah and other scriptures into the Hebrew Bible → Christian Old Testament 500 years later, including the divine authority of the Ten Commandments"
40,-400,"Siddhārtha Gautama (Buddha, c. 480-400 BCE, Ancient India) lays the foundations of Buddhism, with joy as a calling towards the path of nirvana; rebirth in hell for misconduct"
41,-400,"earliest in-patient hospitals (King Paṇḍukābhaya, Sri Lanka) → professional care for the sick"
42,-375,"idea that justice and virtue are inherent qualities of inner harmony (Plato’s Republic, Greece): limits to the liability of external forces for conduct → moral conscience of Christianity"
43,-364,"first sighting of another moon: Jupiter’s Ganymede, discovered with the naked eye (Gan De, China) → rediscovery by Galileo Galilei in CE 1610, using a 20× telescope"
44,-350,concept of time-velocity space applied to the motions of Jupiter (Babylonia)
45,-350,"development of formal systems of reasoning, by logical deduction from axioms and postulates (Aristotle, Greece) → scientific disciplines"
46,-350,"understanding of the emotions as dimensions of feeling that affect judgement (Aristotle, Greece): anger, love, fear, shame, kindness, pity, envy, emulation"
47,-350,"political theory of social welfare (Aristotle, Greece): a state tax on assets of affluent citizens for distribution amongst the poor"
48,-320,"compilation of the Tao Te Ching (China) on peace and war, founding Taoism in ritual cultivation of life’s inherent natural and spiritual forces, benefitting all"
49,-300,"mass persuasion, using silver coins stamped with the head of previous legendary ruler Alexander the Great (Lampsacus, Turkey): appropriating history to glorify the present"
50,-300,"earliest economic exploitation of chicken outside East Asia (Southern Levant); now the world’s most ubiquitous species of livestock, a principle source of protein"
51,-300,"postulation of Euclidean geometry of flat surfaces (Euclid of Alexandria, Greece) → first printed edition of Euclid’s Elements, CE 1482"
52,-280,"first hypothesis that Earth revolves around the Sun (Aristarchus of Samos, Greece, reported in Archimedes’ The Sand Reckoner, c. 260 BCE)"
53,-250,"first estimation of π within known limits (Archimedes, Greece), describing circles, discs, spheres, cones, orbits, loops, spirals, waves → method of calculus"
54,-250,"earliest accurate estimates of the circumference, diameter and tilt of a spherical Earth (Eratosthenes, Greece, c. 250 BCE, reported by Pliny CE 77)"
55,-250,"earliest watermills (Egypt; Anatolia by 50 BCE, reported in Strabo’s Geographica 7 BCE), milling grain, processing ore; the first machines to harness a natural force for mechanical work"
56,-250,"construction of the Great Wall, stretching 1,900 km (Emperor Qin Shi Huang, China) → 21,196 km by the Ming dynasty to CE 1644"
57,-200,"fusion of Indian cultures and traditions into Hinduism, with worship posthumously rewarded by favourable rebirth; torment in hell for sinners → currently the third most populous religion, after Christianity and Islam"
58,-200,"widespread adoption of seed drills (Han dynasty, northern China); reinvention by Jethro Tull in 1701, Britain → production efficiency heralding the dawn of modern agriculture"
59,-100,"first analogue computer: Antikythera Mechanism of bronze gears, mechanising solar and lunar epicycles and eclipses, and motions of the planets in the known cosmos (Antikythera, Greece); unsurpassed for 1,400 years"
60,-100,"earliest positional system of decimal fractions, for algorithmic calculations with positive and negative numbers using counting rods (China)"
61,-100,"establishment of the Silk Roads, for overland trade between East Asia and southern Europe → China’s CE 2013 Belt and Road Initiative, opening routes to trade and investment in 70 economies"
62,-50,"rise of the Roman Empire (Europe), enduring c. 600 years → infrastructure of roads, using designs that still prevail, and aqueducts; self-strengthening concrete, lead-pipe plumbing and sanitation; leap years"
63,50,"death of Jesus of Nazareth and transcribing of his life in the New Testament → rise of Christianity, with salvation for the righteous and heaven as reward; otherwise fear hell"
64,77,"earliest encyclopaedia (Pliny the Elder, Italy, Naturalis Historia books 1-5, 6-10, 11-17, 18-23, 24-31, 32-37 CE 77)"
65,100,"maritime trade routes between Africa, India, China, for spices, medicines, fabrics; connecting to Ancient Rome through Alexandria"
66,100,"use of paper for writing and painting begins to supplant bamboo and silk in China (Emperor He, Eastern Han dynasty, c. 100)"
67,132,"invention of the seismoscope (Zhang Heng, China, 132), detecting earthquakes 600 km away; the first device to enhance the reach of sensory perception since the orb-weaving spider first outsourced hearing to its web"
68,150,"development of the astrolabe from celestial globes, locating Sun and stars in relation to the equator (Ptolemy, Alexandria, c. 150) → determination of latitude"
69,150,"earliest industrial complex: watermills of Barbegal (France, 2ⁿᵈ century), producing 25 tons/day of hardtack for local harbours"
70,290,"firing of natural gas in southwest China, to boil brine for salt (Bowu zhi c. 290), and to pipe into homes for lighting (Huayang Guo Zhi c. 340) → 3.9 trillion m³/year of global gas extraction by 2018 and rising"
71,290,"use of mineral oil in central China, to lubricate axles and to seal water tanks (Bowu zhi c. 290, reported in Shui Jing Zhu c. 500) → 5.0 billion tonnes/year of global oil extraction by 2018: peak production?"
72,300,beginning of central Europe’s 300-year Migration Period: cultural and socioeconomic turmoil coinciding with climatic variability; eastern tribes overwhelming the Roman Empire
73,357,"earliest explicit use of zero, in the Maya Classic Period (Uaxactun, Guatemala, 357)"
74,400,"spread of urbanisation, with cities of over 100,000 people in Roman, Chinese and Mesoamerican empires (Teotihuacan, Mexico, covering 18 km² c. 400) → specialisation of trades and occupations"
75,430,"human desire for personal relations with god, communicated to the masses as a king’s privilege (India): Hindu ruler Kumaragupta I depicted on coins feeding a sacred peacock"
76,517,"observation that free-falling bodies accelerate independently of their weights (John Philoponus, Alexandria, On Aristotle’s Physics 517) → proved in 1687 for gravitational pull on bodies in a void"
77,532,"invention of anno Domini, or AD (Dionysius Exiguus, Romania, 532); called anno aerae nostrae vulgaris by Johannes Kepler in 1615, now Common Era, or CE → no calendar year zero"
78,536,crop failures across the northern hemisphere caused by volcanic eruptions in Iceland; then bubonic plague (536-547) → century of economic stagnation
79,550,"earliest block printing on paper (China, c. 550) → widespread use of printed books in 11ᵗʰ century Song dynasty China"
80,620,"discovery of Antarctica by Polynesian Māoris (Hui Te Rangiora on the vessel Te Ivi o Atea, from New Zealand, early 7ᵗʰ century) → numerous visits over subsequent centuries"
81,628,"introduction of rules governing the use of zero in number systems (Brahmagupta, India, Brāhmasphuṭasiddhānta 628)"
82,650,"death of the prophet Muhammad (Mecca, Saudi Arabia, 632) and transcribing of his revelations in the Qur'an → rise of Islam, with prayer guiding righteous deeds and paradise as reward; hell for disbelievers"
83,700,"Islamic Golden Age, from 8ᵗʰ to 14ᵗʰ centuries: flourishing art, design, architecture, and scientific innovation"
84,700,"over 700 European cities exceed 1,000 inhabitants in CE 700, of which only Constantinople exceeds 100,000 → 22 such cities by 1800, thereafter rising exponentially to 665 by 2000"
85,754,"establishment of the Papal States (Pope Stephen II, central Italy, 754) → global reach of the Catholic Church headed by a pope; 900 years of European art and architecture subjugated to Christianity"
86,841,"earliest use of statistical inference (Abū Yūsuf Ya'qūb ibn Isḥāq al-Kindī, Iraq, Risalah fi Istikhraj al-Mu'amma 841) → cryptography; analysis of distributed variables"
87,874,"Norse colonisation of Iceland, 874; deforestation and sheep grazing erode soils, driving down the island’s vegetation irretrievably to a half, and forests to 4%, of original extent"
88,900,"earliest windmills (Khorasan, Iran-Afghanistan, c. 900, recorded by Ibrāhīm ibn Muḥammad Iṣṭakhrī)"
89,985,"Norse colonisation of Greenland by Erik Thorvaldsson, 985; Newfoundland by his son Leif, at least by 1021: human migrations now encircling the globe → a century of harvesting North American stockfish and eiderdown"
90,1000,"sexagesimal subdivision of the hour into 60 minutes, and the minute into 60 seconds (Abu Rayhan Al-Biruni, Iran, c. 1000)"
91,1044,"formula for gunpowder, used for fire arrows, incendiary projectiles, smoke bombs (Northern Song dynasty, China, Wujing Zongyao 1044) → cannons by 1128, guns by c. 1270, rockets by 1272"
92,1055,"first hospice (Jerusalem, c. 1055) → professional palliative care for the dying"
93,1060,"beginning of 
300 years of warring Crusades in the name of the Latin Church, against Islamic rule in the biblical Land of Israel and Palestine"
94,1120,"first government-issued paper money (Song dynasty, China) → a trusted IOU bundling Aristotle’s functions of money, as medium of exchange, mode of payment, unit of account, store of value"
95,1150,"eastward migrating Asian Polynesians meet westward migrating South Americans (southern Pacific Marquesas Islands, c. 1150) → admixture on Easter Island by 1380, construction of monumental stone statues"
96,1206,"rise of the Mongol Empire connecting the Pacific to the Mediterranean, founded by Genghis Khan; recounted by Marco Polo c. 1300 → 35 million male-line descendants of Genghis Khan across modern Asia"
97,1215,"first declaration of human rights: Magna Carta (King John of England, 15/6/1215) → the first and now oldest national constitution; Universal Declaration of Human Rights, 1948"
98,1283,"first mechanical clock with an escapement mechanism (Dunstable Priory, Britain, 1283), regulating clock speed"
99,1286,"discovery of the art of making eyeglasses (anon., Italy, 1286), “one of the best and most necessary arts that the world has” – Friar Giordano da Rivalto, 23/2/1305 → 2.5 billion people needing yet not having glasses in 2016"
100,1337,"accretion of personal wealth from gold by Mansa Musa I (c. 1280-1337), Emperor of Mali and richest person in history: peak of inequality amongst individuals → gold still a safe haven in money markets"
101,1346,"plague caused by the Black Death bacillus Yersinia pestis kills a third of the human population across much of Europe, 1346-53; originating in Kyrgyzstan or the Himalayas, transmitted by rats and their fleas"
102,1350,"earliest cultivation of Coffea arabica for coffee (Yemen, using Ethiopian seeds, 14ᵗʰ century) → 100 million coffee farmers supplying 2 billion cups per day; extinction threats to most wild coffee species"
103,1400,"birth of the European Renaissance (Italy), rise of individuality, imagination, innovation, capitalism"
104,1418,"accurate geometrical perspective in painting (Filippo Brunelleschi, Italy, c. 1418; codified by Leon Battista Alberti, Italy, De Pictura 1436)"
105,1438,"Inca expansion, becoming the world’s largest empire by 1500, ruling 12 million people over 5,000 km of Andes; altiplano labour economy powered by llamas for transport"
106,1440,"first mechanical printing press with movable type (Johannes Gutenberg, Germany, 1440) → mass production, dissemination and survival of journals, pamphlets and books, of theology, criticism, history, science, narrative fiction"
107,1492,"European mariners reach the Americas (Christopher Columbus from Spain, 1492) → colonial settlements; 16ᵗʰ century Columbian Exchange of cultural infrastructure between New and Old Worlds, and Great Dying of 56 million indigenous peoples of the Americas"
108,1498,"European mariners reach India (Vasco da Gama from Portugal, 1498), connecting the Atlantic to the Indian Ocean → colonial empires in Africa and Asia; Indian Ocean trade; global multiculturalism"
109,1500,"foundations of Western art laid by Leonardo da Vinci (Italy, 1452-1519) and Michelangelo di Lodovico Buonarroti Simoni (Italy, 1475-1564), in humanist sculpture, drawing, portraiture and frescos"
110,1510,"technical drawing of anatomical features, mechanisms and engineering designs (Leonardo da Vinci, Italy, c. 1510)"
111,1516,"concept of utopia, imagined as an island society in the New World that implausibly meets all human desires (Thomas More, Britain, Utopia 1516) → political ideal theory"
112,1517,"Reformation, splitting the universal Christian world into sects (Martin Luther, Germany, 1517)"
113,1522,"first circumnavigation of the globe (Ferdinand Magellan from Spain to Philippines, Juan Sebastián Elcano return to Spain, 1519-22) → globalisation of sea trade"
114,1526,beginning of the Atlantic slave trade by Europeans (1526) → 12 million slaves exported from Africa to the Americas up to 1900
115,1542,"global population of humans passes 500 million; annual energy use per person averages 9,800 kWh, 14× the resting metabolism"
